sample_id,ERBB2_copy_number,CEP17_copy_number,ERBB2_CEP17_ratio,ERBB2_minus_ploidy,Purity,Ploidy
CPCT02110080T,4,2,2.0,1.0260000000000002,0.4,2.974
CPCT02080049T,45,2,22.5,41.5872,0.9,3.4128
CPCT02360017T,2,2,1.0,-0.0695000000000001,0.7,2.0695
CPCT02040069T,35,4,8.75,31.8481,0.33,3.1519
DO217987,3,3,1.0,-0.4443999999999999,0.71,3.4444
CPCT02100067T,4,5,0.8,0.3900000000000001,0.71,3.61
CPCT02020773T,1,2,0.5,-0.7476,0.72,1.7476
CPCT02330032T,2,1,2.0,0.0354000000000001,0.65,1.9646
WIDE01010308T,2,3,0.6666666666666666,-1.1286999999999998,0.33,3.1287
CPCT02120087T,2,10,0.2,-0.5613000000000001,0.47,2.5613
WIDE01010322T,2,1,2.0,0.0576000000000001,0.73,1.9424
CPCT02290011T,2,2,1.0,-0.1156999999999999,1.0,2.1157
CPCT02030220T,4,2,2.0,0.4438,0.77,3.5562
CPCT02080300T,2,3,0.6666666666666666,-0.2776000000000001,0.46,2.2776
CPCT02010422T,6,5,1.2,2.0843,0.34,3.9157
CPCT02100093T,1,1,1.0,-0.8581000000000001,0.7,1.8581
CPCT02290037T,2,2,1.0,-0.6065999999999998,0.71,2.6066
TCGA-A2-A0D1T,32,3,10.666666666666666,28.1329,0.78,3.8671
DO218121,4,4,1.0,0.2229000000000001,0.43,3.7771
CPCT02050209T,1,2,0.5,-0.7545,0.57,1.7545
CPCT02230058T,2,2,1.0,-0.0468999999999999,1.0,2.0469
CPCT02020966T,2,2,1.0,-0.1288999999999998,0.84,2.1289
WIDE01010468T,4,4,1.0,0.8138999999999998,0.43,3.1861
CPCT02100066T,1,1,1.0,-1.0571000000000002,0.63,2.0571
DO218182,2,2,1.0,-0.0203000000000002,0.65,2.0203
CPCT02310018T,1,1,1.0,-0.9588,0.83,1.9588
CPCT02390043T,3,2,1.5,1.0136,0.7,1.9864
TCGA-E2-A109T,5,6,0.8333333333333334,0.9768,0.68,4.0232
DO217788,3,2,1.5,1.0463,0.85,1.9537
CPCT02230025T,37,3,12.333333333333336,33.509100000000004,0.46,3.4909
CPCT02030521T,3,2,1.5,-0.0392000000000001,0.24,3.0392
CPCT02140039T,4,4,1.0,0.0232000000000001,0.48,3.9768
CPCT02300008T,2,2,1.0,-1.1846,0.81,3.1846
TCGA-AN-A0ATT,3,3,1.0,-0.5726,0.49,3.5726
CPCT02030549T,2,2,1.0,-0.8915000000000002,0.55,2.8915
TCGA-A1-A0SMT,28,2,14.0,25.9409,0.6,2.0591
DO218174,2,2,1.0,-0.0676999999999998,0.63,2.0677
TCGA-AR-A24ZT,4,6,0.6666666666666666,0.7795000000000001,0.83,3.2205
CPCT02080063T,6,4,1.5,2.3217,0.59,3.6783
DO220821,2,2,1.0,-0.0550999999999999,0.53,2.0551
CPCT02010765T,2,2,1.0,-1.0571000000000002,0.36,3.0571
CPCT02390001T,4,1,4.0,1.9758,0.73,2.0242
CPCT02080200T,2,3,0.6666666666666666,0.0984,0.77,1.9016
CPCT02240003T,9,8,1.125,4.5811,0.43,4.4189
DO218168,2,0,0.0,0.0330000000000001,0.9,1.967
CPCT02160018T,1,1,1.0,-0.5666,0.41,1.5666
TCGA-E2-A15HT,14,1,14.0,12.0567,0.69,1.9433
TCGA-A2-A0EYT,38,2,19.0,34.6433,0.5,3.3567
CPCT02160009T,3,3,1.0,0.8708,0.83,2.1292
CPCT02080228T,6,3,2.0,2.5806,0.53,3.4194
WIDE01010967T,2,2,1.0,-0.0230999999999999,0.94,2.0231
TCGA-A2-A25BT,2,7,0.2857142857142857,-1.7723,0.6,3.7723
TCGA-BH-A1FCT,4,5,0.8,0.0625,0.47,3.9375
TCGA-BH-A0H6T,2,2,1.0,-0.2006000000000001,0.76,2.2006
TCGA-BH-A0H0T,4,2,2.0,0.0118999999999998,0.76,3.9881
CPCT02060128T,3,3,1.0,-0.5413000000000001,0.65,3.5413
CPCT02080005TII,2,2,1.0,-0.1688999999999998,0.26,2.1689
TCGA-A2-A04PT,2,2,1.0,-1.5213,0.6,3.5213
CPCT02380035T,3,3,1.0,0.0301999999999997,0.6,2.9698
DO218651,1,1,1.0,-1.1989999999999998,0.47,2.199
CPCT02010326TII,4,4,1.0,-1.1707,0.64,5.1707
CPCT02030289T,21,5,4.2,17.6787,0.47,3.3213
DO1017,2,2,1.0,-1.3932000000000002,0.24,3.3932
CPCT02160037T,3,2,1.5,1.2079,0.53,1.7921
CPCT02010658T,1,1,1.0,-0.8604,0.44,1.8604
DO218388,2,1,2.0,-0.2406999999999999,0.89,2.2407
CPCT02230036T,4,9,0.4444444444444444,0.0647999999999999,0.32,3.9352
WIDE01010728T,2,4,0.5,-1.0259,0.49,3.0259
CPCT02200007T,2,4,0.5,-2.4765,0.22,4.4765
DO1006,2,3,0.6666666666666666,-1.1789999999999998,0.7,3.179
CPCT02300011T,4,2,2.0,0.4312,0.45,3.5688
CPCT02160051T,1,1,1.0,-0.9543,0.4,1.9543
CPCT02210010T,2,1,2.0,-0.0272999999999998,0.43,2.0273
CPCT02020160TIII,2,1,2.0,0.0041999999999999,0.84,1.9958
TCGA-E2-A1LKT,5,5,1.0,0.5408999999999997,0.73,4.4591
CPCT02100170T,4,4,1.0,0.7294999999999998,0.47,3.2705
CPCT02230089T,2,2,1.0,-1.261,0.31,3.261
